Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
0.291044776119403,0.5955056179775281,0.1958762886597938,0.7522935779816514,partly cloudy,1010.82,2,Winter,3.5,inland,Rainy
0.47761194029850745,0.8539325842696629,0.17525773195876287,0.6513761467889908,partly cloudy,1011.43,7,Spring,10.0,inland,Cloudy
0.41044776119402987,0.4943820224719101,0.14432989690721648,0.14678899082568808,clear,1018.72,5,Spring,5.5,mountain,Sunny
0.4701492537313433,0.7078651685393258,0.030927835051546393,0.7522935779816514,clear,1026.25,7,Spring,1.0,coastal,Sunny
0.3880597014925373,0.6067415730337079,0.35051546391752575,0.6055045871559633,overcast,990.67,1,Winter,2.5,mountain,Rainy
0.4253731343283582,0.39325842696629215,0.07216494845360824,0.23853211009174313,overcast,1010.03,2,Summer,5.0,inland,Cloudy
0.17164179104477612,0.8651685393258427,0.16494845360824742,0.7889908256880734,overcast,990.87,1,Winter,4.0,inland,Snowy
0.208955223880597,0.7303370786516854,0.12371134020618557,0.8807339449541285,partly cloudy,984.46,1,Winter,3.5,inland,Snowy
0.208955223880597,0.7078651685393258,0.12371134020618557,0.6055045871559633,overcast,999.44,0,Winter,1.0,mountain,Snowy
0.39552238805970147,0.6067415730337079,0.17525773195876287,0.981651376146789,clear,1012.13,8,Winter,7.5,coastal,Sunny
0.44776119402985076,0.2808988764044944,0.12371134020618557,0.7889908256880734,partly cloudy,879.88,2,Spring,1.0,mountain,Cloudy
0.4701492537313433,0.25842696629213485,0.041237113402061855,0.14678899082568808,clear,1029.16,11,Autumn,7.5,inland,Sunny
0.27611940298507465,0.43820224719101125,0.21649484536082475,0.22935779816513763,partly cloudy,1016.08,3,Autumn,5.5,mountain,Cloudy
0.11194029850746269,0.7528089887640449,0.30927835051546393,0.6146788990825688,overcast,986.19,0,Winter,1.5,inland,Snowy
0.3656716417910448,0.011235955056179775,0.07216494845360824,0.07339449541284404,clear,1018.88,8,Winter,5.5,coastal,Sunny
0.26119402985074625,0.33707865168539325,0.13402061855670103,0.42201834862385323,partly cloudy,1000.44,2,Summer,8.5,mountain,Cloudy
0.41044776119402987,0.07865168539325842,0.14432989690721648,0.11926605504587157,partly cloudy,1016.38,5,Spring,7.5,inland,Sunny
0.43283582089552236,0.34831460674157305,0.010309278350515464,0.24770642201834864,overcast,1009.18,3,Autumn,5.5,coastal,Cloudy
0.5074626865671642,0.29213483146067415,0.010309278350515464,0.13761467889908258,clear,1025.8,9,Spring,6.0,mountain,Sunny
0.2835820895522388,0.9213483146067416,0.24742268041237114,0.6605504587155964,clear,1012.25,4,Summer,8.0,inland,Sunny
0.11194029850746269,0.5280898876404494,0.17525773195876287,0.6880733944954128,overcast,991.53,1,Winter,3.0,mountain,Snowy
0.13432835820895522,0.7640449438202247,0.25773195876288657,0.8990825688073395,overcast,980.31,1,Winter,3.0,inland,Snowy
0.43283582089552236,0.1797752808988764,0.15463917525773196,0.1651376146788991,clear,1014.29,8,Summer,9.5,mountain,Sunny
